scenario,case_type,id,raw_text_excerpt,true_class,true_intensity,emoe_class,emoe_intensity,prmf_class,prmf_intensity,prmf_minus_emoe_abs_reg_error
audio_vision_middle_30pct,prmf_regression_worse,rojyUp4FPSg$_$7,"And if you've seen reviews in the past or read the reviews on our website, you'll see that we are big fans of subtle scents when it comes to shampoos and conditioners or body washe",2,0.3333333432674408,2,0.6171875,2,1.595703125,0.978515625
audio_vision_middle_30pct,prmf_regression_worse,0utROiKxejc$_$4,"When I approached the wholesalers regarding this, they didn't helped me and they will not accept returns and because of these conditions, I went into huge losses.",1,0.0,0,-0.55126953125,0,-1.5087890625,0.95751953125
audio_vision_middle_30pct,prmf_regression_worse,112433$_$7,You're really not missing out on anything,0,-0.6666666865348816,0,-0.63037109375,2,0.31787109375,0.9482421875
audio_vision_middle_30pct,prmf_regression_worse,XIGpuL-Kkyk$_$12,So what we actually have been preparing for companies is to let them know that they're medical products are actually competitive and viable in this market,2,2.0,2,1.3681640625,2,0.45263671875,0.91552734375
audio_vision_middle_30pct,emoe_regression_worse,f_ZJ7L14oYQ$_$27,So what I found is that I just pop these over my tennis shoes and I don't have to worry about it anymore.,2,1.6666666269302368,0,-1.3740234375,2,0.19921875,-1.5732421875
audio_vision_middle_30pct,emoe_regression_worse,241629$_$3,(uhh) Knocked Up was a hilarious movie that I really enjoyed and (uhh) was expecting something along that lines for this movie,2,2.3333332538604736,0,-1.388671875,0,-0.25,-1.138671875
audio_vision_middle_30pct,emoe_regression_worse,PwapK9d8IGk$_$4,"For example, if you take a hundred thousand dollars based on your age, you want to receive an income stream for ten years, twenty years, or for your entire life, that's what the in",1,0.0,0,-1.19140625,1,0.1070556640625,-1.0843505859375
audio_vision_middle_30pct,emoe_regression_worse,32681$_$1,"(umm) I saw that over the weekend, did did (stutter) good in the box office",1,0.0,0,-1.458984375,0,-0.4169921875,-1.0419921875
audio_vision_middle_30pct,emoe_regression_worse,121128$_$10,(umm) But I still think that kids would enjoy it equally as well,2,2.0,0,-0.4990234375,2,0.5185546875,-1.017578125
all_three_middle_30pct,prmf_regression_worse,2S00zYaVrtc$_$10,The pepper spray incident was one that I will deeply regret for the rest of my life.,0,-2.6666667461395264,0,-1.525390625,0,-0.2724609375,1.2529296875
all_three_middle_30pct,prmf_regression_worse,273539$_$9,"That I think worked with the film (umm) but originality wise, this movie is nothing that hasn't been made before It's just kinda sleezy (umm) waste of time completes your mind type",0,-2.3333332538604736,0,-1.4423828125,0,-0.234130859375,1.208251953125
all_three_middle_30pct,prmf_regression_worse,XIGpuL-Kkyk$_$12,So what we actually have been preparing for companies is to let them know that they're medical products are actually competitive and viable in this market,2,2.0,2,1.4296875,2,0.40673828125,1.02294921875
all_three_middle_30pct,prmf_regression_worse,266791$_$5,"(umm) Unfortunately, this one can't even fit into the not so good movies category (umm) I'll get to that in a little bit",0,-2.3333332538604736,0,-1.490234375,0,-0.51513671875,0.97509765625
all_three_middle_30pct,prmf_regression_worse,272624$_$12,(uhh) There's also just not that much (stutter) stuff in terms of originality,0,-1.0,0,-1.0439453125,0,-0.0253143310546875,0.9307403564453125
all_three_middle_30pct,emoe_regression_worse,241629$_$3,(uhh) Knocked Up was a hilarious movie that I really enjoyed and (uhh) was expecting something along that lines for this movie,2,2.3333332538604736,0,-1.7890625,0,-0.28271484375,-1.50634765625
all_three_middle_30pct,emoe_regression_worse,f_ZJ7L14oYQ$_$27,So what I found is that I just pop these over my tennis shoes and I don't have to worry about it anymore.,2,1.6666666269302368,0,-1.337890625,2,0.12042236328125,-1.45831298828125
all_three_middle_30pct,emoe_regression_worse,PwapK9d8IGk$_$4,"For example, if you take a hundred thousand dollars based on your age, you want to receive an income stream for ten years, twenty years, or for your entire life, that's what the in",1,0.0,0,-1.228515625,1,0.080322265625,-1.148193359375
all_three_middle_30pct,emoe_regression_worse,102858$_$21,"I'm giving this beast a four out of, (stutter) I mean, (uhh) wait, four, no",2,1.0,0,-1.5810546875,0,-0.4970703125,-1.083984375
all_three_middle_30pct,emoe_regression_worse,130456$_$11,"It it (stutter) involves like, (uhh) theoretical physics and just so much stuff and Donnie Darko no matter how weird he is is still really funny",2,1.6666666269302368,0,-2.00390625,0,-0.96875,-1.03515625
all_three_middle_50pct,prmf_regression_worse,2S00zYaVrtc$_$10,The pepper spray incident was one that I will deeply regret for the rest of my life.,0,-2.6666667461395264,0,-1.8662109375,0,-0.300048828125,1.566162109375
all_three_middle_50pct,prmf_regression_worse,266791$_$5,"(umm) Unfortunately, this one can't even fit into the not so good movies category (umm) I'll get to that in a little bit",0,-2.3333332538604736,0,-1.5478515625,0,-0.34326171875,1.20458984375
all_three_middle_50pct,prmf_regression_worse,273539$_$9,"That I think worked with the film (umm) but originality wise, this movie is nothing that hasn't been made before It's just kinda sleezy (umm) waste of time completes your mind type",0,-2.3333332538604736,0,-1.3037109375,0,-0.10675048828125,1.19696044921875
all_three_middle_50pct,prmf_regression_worse,266791$_$21,"(umm) I don't know if it was teaming up with Mark Wahlberg, who has is notori notoriously (stutter) wooden actor I don't know if that hurt the film, or not, but he also did not get",0,-1.6666666269302368,0,-1.5224609375,0,-0.5283203125,0.994140625
all_three_middle_50pct,prmf_regression_worse,272624$_$12,(uhh) There's also just not that much (stutter) stuff in terms of originality,0,-1.0,0,-1.005859375,0,-0.007602691650390625,0.9865379333496094
all_three_middle_50pct,emoe_regression_worse,241629$_$3,(uhh) Knocked Up was a hilarious movie that I really enjoyed and (uhh) was expecting something along that lines for this movie,2,2.3333332538604736,0,-1.6298828125,0,-0.2047119140625,-1.4251708984375
all_three_middle_50pct,emoe_regression_worse,99501$_$5,The movie kind of glosses over a lot of the (uhh) (stutter) a lot of the things that you could say with a story like that in favor of just pure action,0,-0.3333333432674408,0,-1.9228515625,0,-0.59716796875,-1.32568359375
all_three_middle_50pct,emoe_regression_worse,241629$_$8,"(uhh) It's just you know, I had a few laughs and that sort of thing but nothing you know just, compared to Knocked Up which was just absolutely fall on the floor laughs I didn't th",0,-0.3333333432674408,0,-1.86328125,0,-0.6884765625,-1.1748046875
all_three_middle_50pct,emoe_regression_worse,f_ZJ7L14oYQ$_$27,So what I found is that I just pop these over my tennis shoes and I don't have to worry about it anymore.,2,1.6666666269302368,0,-1.06640625,2,0.1082763671875,-1.1746826171875
all_three_middle_50pct,emoe_regression_worse,130456$_$11,"It it (stutter) involves like, (uhh) theoretical physics and just so much stuff and Donnie Darko no matter how weird he is is still really funny",2,1.6666666269302368,0,-1.8291015625,0,-0.73486328125,-1.09423828125
